review_summary,review_body,star_rating,sentimiento
"May, ¿quieres ser mi amigo?","""May, ¿Quieres ser mi amigo?"" es una de esas películas que nos recuerdan que el terror no siempre lleva garras de acero en una mano o una mascara en la cara. El terror y la locura se encuentran mucho más cerca de nosotros, de la realidad, de nuestra pacífica y hasta a veces aburrida monotonía. May funciona bajo el método: la bestia duerme dentro de nosotros. En cada uno de nosotros hay un posible psicópata y nuestra vecina la del segundo puede ocultar un oscuro pasado o una doble vida. Para ello, Lucky McKee, nos narra efectivamente una historia presuntamente cotidiana (que sin embargo, engancha desde el principio) sobre una joven muy parecida a esas otras tantas que pululan a nuestro alrededor. La rarita de la clase, la niña tímida de la tienda de comestibles, esa extraña hermana de nuestro amigo, nuestra prima la del pueblo. Es por esto que nos montamos en un tren de cercanías y no en un tren de alta velocidad con escenas más vistas que las reposiciones de ""El Principe de Bell Air"" y adolescentes lelos e insoportables con superávit de hormonas y déficit de neuronas. En este tren nos encontramos con personajes bien trazados y de carne y hueso. Personajes trabajados, atractivos e incluso muy atrevidos. (La compañera de May en el veterinario en donde trabaja no tiene desperdicio) Todos ellos giran en torno al personaje de May, interpretado con muchísimo mimo y talento por Angela Bettis que logra crear un personaje que se nos muestra irresistible y original. La trama es como digo muy interesante y nos sorprende por llevar un ritmo que rompe nuestras expectativas pero que nunca nos defrauda. La transformación que sufre May y la irremediable desencadenación hacia un destino sobrecogedor, sucede por culpa de toda una serie de características y acontecimientos muy bien explicados y calculadamente reconocibles que forjan y maduran la verdadera cara del terror.Esta es una película que coge carrerilla para empezar antes de donde empiezan casi todas las demás de su género, para después acabar además bastante más allá de donde se atrevería ninguna otra. En su día Todd Solondz, conocido por lograr llegar también muy lejos con sus saltos y por rehuir de los géneros habituales para inventarse los suyos propios, nos regaló ""Bienvenidos a la casa de muñecas"" (1996), (película anterior a su ácida y genial ""Happyness"" (1998) que tiene mucho que ver con esta. En ella, el señor Solondz, abordaba de forma cruda y valiente, el drama de una niña fea y traumatizada, enfrentada a la más cruda realidad. La mayor diferencia entre ellas es, por supuesto, que aquella no era una película de terror. Bueno, y al grano, que no esperéis escenas convencionales, ni gatos que se empeñan en perderse, ni sustitos efectistas, ni tampoco efectos especiales porque no hacen falta. Esta es una producción de bajo presupuesto pero además no se nota. Y no se nota, porque tiene una mucho más que correcta fotografía, una atmósfera angustiosa y embriagadora, un montaje inteligente y un final muy verdadero, y por esto mismo, aterradoramente real.Esta es una peli que merece la pena, (de notable alto para quien ahora os escribe) y es que, amigos, si ""Amelie"" hubiese sido una película de terror en vez de un mágico cuento, aquella dulce francesita se hubiera llamado sin duda ""May"". ¿Y la magia?, La magia negra, por supuesto, muy negra.",4,positivo
Cómo ponerse en la piel de un kamikaze,"Es todo un alivio que ante tanta película que trata el tema palestino de una forma un tanto lineal, posicionada en algún bando y con la cuestión política o social como trasfondo, nos llegue una obra como ""Paradise Now"". La película de Hany Abu-Assad, ofrece, de la misma forma, resquicios sociales y apuntes políticos de la problemática palestina, pero lo que prima en ella es el tratamiento humano (todos aplicables no solamente a dicha ubicación, sino al resto del mundo) de la cuestión.Y es de agradecer ya que, por mucha polémica absurda que haya despertado en determinados lugares (sobre todo en la antesala de los Oscar), el film se muestra totalmente aséptico. Y ese es, precisamente, el mayor de sus atrevimientos.Pese a que los protagonistas estén de acuerdo con determinadas posturas políticas o sociales, religiones, creencias o convicciones, la dirección y su desarrollo no se posicionan en ninguna postura en particular. Sólo tratan de profundizar y sumergirse en la cabeza de la persona que llega hasta tales extremos, sea por la razón que sea. Y eso es lo que persigue el film: descubrir el motivo de las actuaciones de los kamikazes. Aunque no ofrezca un final cerrado que nos deje claro el por qué de ello. Nosotros tenemos que ser capaces de ponernos en su piel y tratar de entenderlo.Porque, por mucho que algunos se empeñen en demostrar lo contrario, no existe polémica ni controversia en el hecho de querer comprender las actuaciones de alguien, sea kamikaze, violador o pederasta (por el cercano ejemplo de la también correctísima ""El Leñador""). Ojo, con ello no se incluye jamás el hecho de justificarlas. Creo que somos lo suficientemente maduros como para diferenciarlo.Siempre es interesante y productivo ponerse en la piel de alguien, intentar comprenderle y sufrir sus miedos y sentir sus anhelos, por muy atroz que sea el crimen que ha cometido. Lógicamente, y tal y como sucedió, por ejemplo, en ""El Hundimiento"", no todo el mundo será capaz de ponerse en la piel de un monstruo como Hitler (sirva como paradigma). Muchos sentirán náuseas con sólo pensarlo. Y lo puedo comprender. Pero a una persona con inquietudes morales le resultará muy productivo, y, a fin de cuentas, y aunque suene exagerado, en eso se basa la empatía. En no hacer distinciones de ningún tipo.Va siendo hora de que nos demos cuenta de que las víctimas no son las únicas protagonistas. El verdugo, de cierta forma, siempre es una víctima al mismo tiempo. Sea cual sea su condena y motivo. Habría que escarbar en su pasado.Para ganar como individuos de una sociedad, tenemos que entender que todo tiene un por qué. Y nada ni nadie puede juzgar la vida de otro de forma gratuita.Y repito. Con ello no se trataría de justificar (no se puede justificar de ningún modo la brutalidad de ciertos actos) nada, pero tampoco de castigar, ya que simplemente lograríamos el efecto inverso. Corregir (educar) es el término más adecuado. Nunca, desde Caín, un castigo ha hecho mejorar a nadie ni disuadirlo de cometer un crimen. Tal vez deberíamos ponernos frente a un espejo y observar. Sería interesante lo que llegaríamos a descubrir si miramos con la debida profundidad.Lo cierto es que la dirección de Hany Abu-Assad ayuda mucho a la hora de tratar la película con la seriedad y objetividad que merece. Su cámara es lo más aséptica posible, simplemente observa y sigue, sin determinar ni juzgar. A pesar de que se evidencia un presupuesto bajísimo, tanto por la cámara como por la forma un tanto hogareña del rodaje, no es necesario nada más. Si se sabe decir con clase y sutileza lo que se quiere decir, como es el caso, no hay problemas es ese aspecto.Y las interpretaciones son bastante acertadas también. Sin realizar un trabajo que llame la atención, Ali Suliman y, sobre todo, un dubitativo Kais Nashef sí que nos ayudan a ponernos en su difícil lugar. Y ese trabajo de contención y expresión es realmente digno.Podemos vivir, gracias a ellos, todos y cada uno de los aparentes retazos de un kamikaze, incluyendo sus creencias, su religión sectaria, su entorno familiar, social, político y educacional. Y lograremos palpar muy de cerca sus miedos, sus deseos, su sentimiento de culpa, su desasosiego y su inquietud, así como sus dudas, sus conflictos más internos, sus condicionamientos y su horripilante indecisión, que es, en esencia, génesis del mayor de los terrores. Y todos esos sentimientos confrontados degeneran en una inestabilidad emocional y descontrol de su persona que evitan que sus actos sean, a partir de ese momento, del todo previsibles. Pero es algo que no sólo les puede suceder a ellos.En definitiva, todo un soplo de aire fresco frente a la gran mayoría de películas que nos inundan últimamente y que poseen, sin intención de resultar ofensivo, cierto carácter panfletario que termina por aburrir al espectador. No olvidemos que estamos hablando de cine. Y, personalmente, prefiero entenderlo como proyección de sentimientos vitales y de inquietudes espirituales. No como crítica reiterativa y obvia.Prefiero vivir el cine como un juego en el que la mente y el espíritu humanos son los que deciden, y no la mano de un director que acaricia la autocomplacencia y única alimentación del ego.El verdadero valor de la dirección es que seamos nosotros los que tengamos en nuestro poder la última decisión. Él es el artesano que elabora la mimbre de calidad, desarrolla las ideas y la problemática a partir de la cual nosotros somos los que terminamos de enraizar nuestra decisión y nuestra determinación. Ya que, en parte, nosotros somos, también, parte de su trabajo. Somos el último punto en ese largo recorrido del film, que es el que, realmente, toda película y todo creador desean alcanzar.Ni siquiera nosotros mismos podremos calificarnos como último bastión, ya que lo es la compresión y la reflexión. Eso es, en esencia, comprender el cine como arte. Y saber que, ante todo y a pesar de ello, la película desenmascara duramente el terrorismo más que ninguna, precisamente por todo lo que he comentado anteriormente. Tira por tierra todo tipo de complejos sectarios y fanáticos que lo que hacen, simplemente, es generar locura e injusticias inútiles que no conducen más que al miedo globalizado y al deseo de alcanzar una gloria inexistente.Como reza la frase de su póster: ""24 horas en la cabeza de un kamikaze"". Con sus ventajas y, obviamente, sus inconvenientes.",4,positivo
"Silicona, esteroides, pactos demoníacos y otras basuras habituales son la base que sustentan esta aberración. De vergüenza.","Una fiesta llena de excesos, rubias despampanantes, musculitos por doquier, algún que otro muerto. nada nuevo. La alianza del mal es el nombre de este Thriller sobrenatural que narra las peripecias de unos jóvenes que para vivir a todo tren no se les ocurre otra que hacer un pacto con el demonio o alguno de sus acólitos. De verdad que no sé qué es lo que les ocurre a los guionistas de Hollywood, por qué desprecian una y otra vez al espectador y le ofrecen subproductos plagados de tópicos, sin la más mínima originalidad y que más que películas parecen odas a la silicona y los esteroides. Y lo peor es que la respuesta a la pregunta que acabo de formular está implícita en la misma: se siguen haciendo estos bodrios porque la gente sigue yendo a verlos. Es un círculo vicioso, parecido al de los programas del corazón, donde parásitos sin oficio ni beneficio se llenan los bolsillos a costa de vender basura. La alianza del mal no tiene por donde cogerla: su argumento es prácticamente inexistente e inconexo entre sus partes; de los intérpretes ya he dicho bastante, ya que cualquier parecido con un actor es mera coincidencia. Mención aparte merece el director Renny Harlin, una persona que ha dirigido títulos de cierta envergadura que se ha prestado a hacer el ridículo insultando al espectador con este bodrio que parece rodado sólo para aquellos que padezcan de idiocia. Y es que ya ni se molestan en crear unos efectos especiales decentes, que era la justificación que se utilizaba para justificar estos mamarrachos. Iba a decir que es una película típica de la clase b, pero sería un insulto para El vengador tóxico y otras similares, que al menos te hacían esbozar una sonrisa. Porque la única realidad es que La alianza del mal es un desecho cinematográfico, una insufrible sucesión de imágenes cuya única virtud es la de no durar demasiado. De vergüenza.",1,negativo
Una comedia entretenida y poca cosa más para ver una tarde de domingo,"Zoom nos cuenta la historia de Jack Shepard, anteriormente conocido como el Capitán Zoom, Superhéroe que perdió sus poderes y que actualmente vive en el olvido. La llegada de una amenaza para la Tierra hará que la agencia del gobierno que se ocupa de estos temas acuda a él para que entrene a un grupo de jóvenes con poderes para combatir esta amenaza.Zoom es una comedia familiar, con todo lo que eso implica, es decir, guión flojo y previsible, bromas no salidas de tono, historia amorosa de por medio y un desenlace tópico. La gracia está en que los protagonistas son jóvenes con superpoderes, una producción cargada de efectos especiales y unos cuantos guiños frikis. La película además se pasa volando ya que dura poco mas de ochenta minutos y cabe destacar su prologo en forma de dibujos de comics explicando la historia de la cual partimos en la película.Tim Allen protagoniza la cinta al lado de un envejecido Chevy Chase, que hace de doctor encargado del proyecto, un papel bastante gracioso y ridículo, pero sin duda el mejor papel es el de Courteney Cox, en la piel de una científica amante de los comics y de lo más friki. Del grupito de los cuatro niños sin duda la mas graciosa es la niña pequeña con súper fuerza y la que provocara la mayor parte de los gags debido a su poder.Una comedia entretenida y poca cosa más para ver una tarde de domingo.",2,negativo
"Luc Besson sabe manejar la acción, y aquí lo demuestra de nuevo manteniendo todo el film un ritmo trepidante sin apenas descanso.","Luc Besson dirige esta película basada en sus propios libros en lo que se comenta será su última incursión en cine como director, aunque algunos rumores apuntan que podría volver a ponerse tras las cámaras para dirigir su secuela. Nos cuenta esta película la historia de Arthur, un chico que vive con su abuela en una casa alejada del pueblo cuyos padres lo tienen más bien abandonado y su único consuelo es vivir fantasías gracias a los libros de viajes e inventos de su abuelo por África. Pero la tranquilidad se verá amenazada cuando descubre que debido a las deudas de la abuela por mantener la casa se verán desalojados en cuarenta y ocho horas. Arthur pondrá todo su empeño en la búsqueda de un tesoro escondido por su abuelo, pero para ello tendrá que viajar al diminuto mundo de los Minimoys.La película mezcla acción real con la acción en forma de dibujos por ordenador de forma totalmente coherente y perfectamente complementada la una por la otra. Y es precisamente en está última donde se genera toda la acción más trepidante y donde Arthur vivirá grandes aventuras, todo ello con una animación conseguida hasta el detalle y un diseño de personajes realmente logrado, se pueden apreciar cabellos y pecas muy bien perfilado en el rostro de los protagonistas y la princesa es realmente guapa, uno de los rostros femeninos más bonitos vistos en animación.Luc Besson sabe manejar la acción, y aquí lo demuestra de nuevo manteniendo todo el film un ritmo trepidante sin apenas descanso. A lo sumo podemos achacarle algún desliz de guión, sobre todo el de la cuerda de la navaja que canta bastante, pero en general mantiene un buen nivel.A pesar de estar dirigida a un público infantil, Arthur y los Minimoys es perfectamente disfrutable para cualquier edad y es sin duda uno de los film de animación del año junto a Monster House y Cars, a falta aun de ver Happy Feet.",4,positivo
"El argumento no pinta mal y podría haber funcionado bien e incluso ser una nueva Jóvenes Ocultos, si no fuera porque la película hace aguas por todas partes.","Vaya otra traducción de título en ingles también, porque una vez vista la película no se yo de donde han sacado tal alianza, pero bueno, vayamos al tema que es comentar la película. The Covenant es la última película del director Renny Harlin, un director que ha llegado a hacer films tan logrados como la segunda parte de La Jungla de Cristal, Deep Blue Sea o Las Aventuras de Ford Farlaine y que últimamente parece haber perdido el norte con films tan mediocres como Driven, Cazadores de Mentes o El exorcista: El Comienzo, y esta última no hace más que confirmar que este señor no es el que era antes porque sigue en su línea de mediocre tirando a malo.El argumento del film tiene de entrada bastante más buena pinta que lo que luego podemos ver, un grupo de cuatro jóvenes amigos que pertenecen a familias con un linaje de brujería y que han heredado poderes mágicos. Todo va bien hasta que empiezan a suceder cosas extrañas y descubrirán que hay otro chico igual que ellos de un linaje perdido y que pretende robarles sus poderes. Básicamente este es el argumento, que podría haber funcionado bien e incluso ser una nueva Jóvenes Ocultos, si no fuera porque la película hace aguas por todas partes.Los cuatro amigos son unos chulitos y guaperas de mucho cuidado en un internado para gente con pasta y que se dedican a usar sus poderes para cualquier cosa menos para algo útil, osease chulear, buscar pelea, saltar desde acantilados, impresionar a las chicas y vacilarse entre ellos. El mayor es el que hace de líder y sensato del grupo, y el que acapara todo el protagonismo, los otros tres aparecen en contadas ocasiones y apenas están desarrollados sus personajes, también está la chica mona y nueva que claro, se enamora del prota, todo esto junto a un carro de topicazos más, aparte de algunos diálogos que directamente causan vergüenza ajena. Pero lo mejor es el personaje que hace de malo, que directamente todo lo relacionado con él es de pena. Y es que no hace nada que tenga sentido, si pensamos un poco en los pasos que da para llegar a donde quiere veremos que carecen de toda lógica y razón y que perfectamente el guionista podría haber buscado una manera mas coherente y menos tópica de presentar al antagonista y de desarrollarlo.A todo este despropósito le sumamos una pelea final que me ha parecido la cosa más ridícula y cansina que he visto en mucho tiempo en el cine con unos efectos especiales usados de la manera más torpe y repetitiva que pueda imaginar.",1,negativo
Pastiche edulcorado a caballo entre el thriller espasmódico y macabro del gore más sanguinolento y la competente funcionalidad narrativa del cine de intriga.,"Pastiche edulcorado a caballo entre el thriller espasmódico y macabro del gore más sanguinolento y la competente funcionalidad narrativa del cine de intriga, aunque ésta venga trucada con argumentos previsibles, montajes ya trillados y, sobre todo, el as en la manga de saber que un final sorprendente pueda reflotar noventa minutos de pereza visual. Mentes en blanco juega a esta ambiguedad de forma notable, todo hay que decirlo. Se hermana con otros productos de un corte similar y acuden, mientras la vemos, trozos de Memente, de Saw ( ay, qué escuela ha abierto esta franquicia ) o de ( más lejanamente ) Sospechosos habituales. En el reino de los ciegos, el tuerto es el rey.Hay actores de valía ( Kinnear, Caviezel, Stormarre ) y no se ha acudido a un plantel anónimo como en otros films de esta índole. El guión es minucioso, resultón, puzzle animado de convenciones del género donde prima ( ya digo ) la búsqueda de un final que nos deja a todos flipados, en la línea de Saw ( insisto ) o Seven, que una hilazón de los acontecimientos bien trabada y un trabajo más artesano en la caracterización meramente teatral de los personajes.Esos de los hombres encerrados en un sótano sin tener ni pajolera idea del cómo y del cuándo suena ya a canción conocida. Estos tiempos de creatividad plana producen clones briosos. que uno acepta porque, en el fondo, ama el cine y reconoce que no siempre es fácil filmar El silencio de los corderos ( esa obra maestra del entrenimiento adulto ) o la citada Seven, que a mí me parece absolutamente genial. Tanto flashback y tanta cámara en mano producen sofoco y también mareo. La construcción del decorado final, el puzzle barroco que nos muestran, se vale de un pesado proceso de crear realidad paralelas: ninguna de estas realidades nos seduce enteramente.La pregunta final: ¿ es buena ? Pues a su modo es una obra maestra, pero ese modo ya tiene al personal una pizca harto. Queremos cine de calidad, pero habiendo tanto y tan diverso, escama que se arracimen en la cartelera productos buenos, en principio, pero aburridos, por vistos. Pienso, ahora, en Deja vu, que tiene los mismos ingredientes de película competente, pero carente de una adecuada tensión dramática.Efectismo a raudales, final sorprendente, actores en racha, director de videoclips (Simon Brand ): Mentes en blanco. ¿ Y por qué, entonces, no tengo la sensación de que la película vale la pena y que echa uno un rato estupendo en el cine ?",3,neutro
"Crónica de un apocalipsis en ciernes. Impecable modelo de cine nihilista, Hijos de los hombres plantea más interrogantes que soluciones.","Impecable modelo de cine nihilista, Hijos de los hombres plantea más interrogantes que soluciones. Ya he escrito algunas veces que ésta es la naturaleza del arte. Produce desasosiego, crea malestar, induce al pesimismo y, no obstante, es un canto a la vida humana, un canto hermoso, escasamente religioso, aunque lo que sucede pueda hacernos sospechar que la vertiente moralista o mitológica va a triunfar en algún momento: nada de esto sucede. Híbrido inteligente de varios géneros ( cine polìtico, ciencia ficción, thriller convencional ), Hijos de los hombres es un destello absoluto de luz, una luz tenebrista y apocalíptica por lo que lo narra ( una mujer embarazada conducida por un antiguo activista hacia la salvación habida cuenta de que hace 18 años que ninguna mujer queda encinta ).Cuarón, que es un todotereno capaz de dar vida a Harry Potter, hacer road movies de sexo adolescente ( Y tu mamá también ) y revolvernos las tripas con esta fábula de ilegalidad y de corrupción, de muerte y de belleza, al tiempo, da en la diana del entretenimiento sin abandonar su prontuario más próximo de intenciones metafísicas, a saber: un mundo abocado a su disolución, un mundo sin Dios ni gobierno que vive su último cielo y sus últimos estertores de ternura.Maniquea en su resolución final, carente por completo de ninguna brizna de humor ( ni el personaje alocado de Caine logra ponernos una sonrisa, aunque se lo propone con ganas ), la película documentaliza el horror de la guerra, retrata con verismo el profundo absurdo de la condición humana ( Malraux dixit ) y cómo el amor, ese hijo engendrado por la mujer de color en un campo de concentración, a la luz gélida de un flexo insensible, termina ( cómo decir lo contrario ) triunfando.",4,positivo
"Quizá no llegue a obra maestra por la falta de mayor cohesión entre las historias, pero la ventaja que tiene la película es que hace intuir que nos encontramos con un director prometedor a la hora de bucear en las emociones más íntimas de cada uno.","Cualquier persona tiene una historia que contar. En esta película se cuentan nueve historias: nueve vidas. En cada episodio, el final es como un impacto en el estómago, golpea la conciencia y deja reflexionando al espectador. Es la narración, rodada en una única secuencia, de nueve relatos, nueve fragmentos de vida de nueve mujeres de edades, condiciones y personalidades diferentes, pero que en esencia son la misma. Cada una atraviesa una situación distinta, pero que se convierte en su propia encrucijada emocional.Retazos de vida de apenas quince minutos cada uno que conforman un retrato universal de la esencia femenina. Una inmersión tan profunda en la personalidad de la mujer no podía haberse captado mejor que, como en este caso, con planos cortos que nos acercan a los personajes, con una cámara que acompaña y sigue sus movimientos y que convierte al espectador en testimonio directo de lo que allí ocurre. Sandra es una inmigrante que pasa sus días encerrada en prisión y vive con la impotencia de no poder salir a abrazar a su hija pequeña. Diana (Robin Wright Penn), una embarazada que ve cómo su estabilidad emocional se tambalea al encontrarse con un amor pasado. En la emotiva escena del reencuentro en el supermercado, el afecto parece volver a renacer entre la pareja, es más, se trata de un sentimiento que no los abandonó nunca. Otra de las piezas muestra el estado de ansiedad que padece una mujer en la antesala de una operación quirúrgica, momento intenso que incluso llega a arrebatar una sonrisa nerviosa al espectador. El amor, el dolor, el sexo, la muerte y la soledad, se mezclan en estas historias siendo la expresión de la vida misma. Aunque el conjunto de las historias es algo irregular, por el hecho de que algunas historias se muestras más desarrolladas que otras, se logra mantener el ritmo sin apenas decaer en toda la cinta.Con una puesta en escena aparentemente sobria pero impecable y una banda sonora suave como una caricia, el director de Cosas que diría con sólo mirarla e hijo del escritor Gabriel García Marquez se confirma una vez más como un sabio conocedor de la psicología femenina y que cuenta con una sensibilidad especial para plasmar en imágenes el sentimiento humano. Quizá no llegue a obra maestra por la falta de mayor cohesión entre las historias, pero la ventaja que tiene la película es que hace intuir que nos encontramos con un director prometedor a la hora de bucear en las emociones más íntimas de cada uno.",4,positivo
"Una película extraña, caótica y por momentos incoherente, pero que a pesar de todo gusta.","Descubriendo el cielo es una película rara. Bastante rara. Es una de esas que te hace tener constantemente la sensación de que te estás perdiendo algo, de que hay algo más en ella que no eres capaz de ver; pero a pesar de todo te gusta. Es algo similar a lo que hace años me ocurría con algunos episodios de Expediente X, que no me enteraba de nada, pero me encantaban. Supongo que habrán tenido ustedes esa sensación alguna vez.Es una película que cabalga a medio camino entre el drama y la ciencia ficción, que grosso modo narra como los ángeles del cielo necesitan un nuevo advenimiento para recuperar las Tablas de Alianza y romper así el pacto con los hombres, en venganza por haber abandonado estos a la religión.Abarca el paso de un gran número de años, ya que desde que comienza hasta que termina han pasado unos veinte, y lo hace de una forma un poco caótica y brusca, pero con cierto encanto. Da la sensación de que se pierde mucho tiempo en escenas triviales, mientras que se pasa de puntillas por otras que sí que son claves para el desarrollo de la película. También sus intérpretes se muestran un tanto histriónicos, exagerados en los aspavientos y gestos, e incluso podríamos decirle que le falta verosimilitud a la caracterización de los personajes. Aunque por encima de todo sobresale la actuación de uno de los grandes de la pantalla (es mi opinión, para gusto los colores), que es Stephen Fry, británico recalcitrante donde los haya, actor multidisciplinar con preferencias por la comedia, y que en la vida real suele hacer gala de un exquisito y ácido humor típicamente británico. Fry es capaz de hacer reír, pero también de emocionar, como hace por momentos en Descubriendo el cielo y hace años con su magistral interpretación de Oscar Wilde en Wilde, lo que a mi entender es la interpretación definitiva del genial autor, con el que el propio actor ha reconocido profundas similitudes, incluida la homosexualidad.Pero de todos modos, qué quieren que les diga; a pesar de que le encuentro más defectos que virtudes, a mí no me ha disgustado, y por momentos me ha gustado esta película. Aunque sinceramente, no sé explicarles el porqué.",3,neutro
